Do you drink coffee?;How often do you drink coffee?;How many cups of coffee do you usually drink per day?;At what time do you usually have your first coffee of the day?;Where do you most often drink coffee?;How do you usually prepare or get your coffee?;What type of coffee (coffee drink) do you drink most often?;What do you usually add to your coffee?;Do you prefer your coffee strong or mild?;What are your main reasons for drinking coffee? ;Do you experience any negative effects from drinking coffee?;In your opinion, what is the overall impact of coffee on health?;Which of the following statements best describes your relationship with coffee? ;Why don’t you drink coffee?;What do you drink instead of coffee?;Age group;Gender;Country of residence;Cleaned Country;ISO Code
Yes;Several times a week;1;Early afternoon (12–3 PM);At home;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Instant coffee (soluble, in a cup);Nothing – I drink it black (without additives);Definitely strong (very intense flavor / high caffeine content);Energy / stimulation – to wake up, get an energy boost, Social aspect – I drink coffee during social or work gatherings;Nervousness / jitters (anxiety, shaking hands after coffee);Mixed – coffee has both pros and cons for health;I can’t imagine a day without coffee – I need it to function properly.;;;18-24;Female;India;India;IN
Yes;Every day;1;Within the first hour after waking up (~6–10 AM);To go (on the way, e.g., in the car or on public transport);Capsules / pods (capsule machine such as Nespresso, Senseo, etc.);Instant coffee (soluble, in a cup);Nothing – I drink it black (without additives);Rather mild;Routine / habit – I drink it out of habit, it’s part of my daily routine;Stomach issues (acid reflux, heartburn, stomach pain);Mixed – coffee has both pros and cons for health;I like coffee, but I could do without it – it’s not a necessity.;;;18-24;Male;czechia;Czechia;CZ
No;;;;;;;;;;;;;For health reasons (e.g., doctor advised against it);Water;18-24;Male;us;United States;US
Yes;Several times a week;1;Right after waking up (~5–9 AM);In a café (on site);Traditional boiled coffee (“Turkish style” or grounds brewed directly);Instant coffee (soluble, in a cup);Nothing – I drink it black (without additives);Definitely strong (very intense flavor / high caffeine content);Taste and enjoyment – I simply like the taste of coffee, Energy / stimulation – to wake up, get an energy boost, Routine / habit – I drink it out of habit, it’s part of my daily routine;Nervousness / jitters (anxiety, shaking hands after coffee), Withdrawal symptoms (e.g., headache or irritability if I skip coffee);Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;25-34;Female;ays;Unknown;Unknown
No;;;;;;;;;;;;;I don’t like the taste;Tea;18-24;Female;USA;United States;US
Yes;Several times a week;5 or more;Right after waking up (~5–9 AM);At work / school / university;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Other white coffee (with milk, but less milk than a latte, e.g., flat white, “coffee with milk”);Sugar / sweetener;Rather strong;Energy / stimulation – to wake up, get an energy boost, Routine / habit – I drink it out of habit, it’s part of my daily routine, Concentration – coffee helps me focus and work more effectively;Heart palpitations / rapid heartbeat;Positive – drinking coffee mostly benefits health (e.g., health properties);Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Female;the states;United States;US
No;;;;;;;;;;;;;I don’t need caffeine / I prefer other drinks;Tea;18-24;Female;US;United States;US
Yes;Several times a month;1;Within the first hour after waking up (~6–10 AM);To go (on the way, e.g., in the car or on public transport);Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Cappuccino (coffee with milk and foam, classic cappuccino);Sugar / sweetener;Rather strong;Routine / habit – I drink it out of habit, it’s part of my daily routine;Sleep problems (e.g., insomnia or difficulty falling asleep);Mixed – coffee has both pros and cons for health;I like coffee, but I could do without it – it’s not a necessity.;;;18-24;Female;United Kingdom;United Kingdom;GB
Yes;Every day;3–4;Late morning (9–12);To go (on the way, e.g., in the car or on public transport);I buy ready-made coffee (don’t brew it myself, e.g., from a café or vending machine);Other (your favorite coffee type not listed above);Milk or cream (dairy);It depends – I don’t have a fixed preference (e.g., depends on the time of day);Concentration – coffee helps me focus and work more effectively;Heart palpitations / rapid heartbeat, Stomach issues (acid reflux, heartburn, stomach pain);Mixed – coffee has both pros and cons for health;I’m a true coffee enthusiast – I’m passionate about its flavors and brewing methods.;;;18-24;Female;india;India;IN
Yes;Every day;1;Right after waking up (~5–9 AM);In a café (on site);Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Nothing – I drink it black (without additives);Rather mild;Taste and enjoyment – I simply like the taste of coffee, Routine / habit – I drink it out of habit, it’s part of my daily routine, Relaxation – it’s a moment of pause and rest;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;"Coffee is just a drink to me; I don’t give it much thought.";;;25-34;Female;new zealand;New Zealand;NZ
Yes;Several times a month;2;Right after waking up (~5–9 AM);To go (on the way, e.g., in the car or on public transport);Cold brew (brewed cold);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Nothing – I drink it black (without additives);Rather strong;Taste and enjoyment – I simply like the taste of coffee, Energy / stimulation – to wake up, get an energy boost;Stomach issues (acid reflux, heartburn, stomach pain), Withdrawal symptoms (e.g., headache or irritability if I skip coffee);I have no opinion / hard to say;I like coffee, but I could do without it – it’s not a necessity.;;;18-24;Male;germany;Germany;DE
No;;;;;;;;;;;;;For health reasons (e.g., doctor advised against it);Yerba mate;18-24;Male;au;Australia;AU
Yes;Once a week;3–4;Early afternoon (12–3 PM);At work / school / university;French press / moka pot (plunger pot or moka pot);Other white coffee (with milk, but less milk than a latte, e.g., flat white, “coffee with milk”);Other;Definitely strong (very intense flavor / high caffeine content);Routine / habit – I drink it out of habit, it’s part of my daily routine;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Female;US;United States;US
Yes;Every day;2;No fixed time / it varies;At work / school / university;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Cappuccino (coffee with milk and foam, classic cappuccino);Milk or cream (dairy);Definitely strong (very intense flavor / high caffeine content);Concentration – coffee helps me focus and work more effectively;Sleep problems (e.g., insomnia or difficulty falling asleep);I have no opinion / hard to say;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Female;nl;Netherlands;NL
Yes;Several times a week;2;Within the first hour after waking up (~6–10 AM);At work / school / university;Cold brew (brewed cold);Espresso (small, very strong coffee ~30 ml);Sugar / sweetener;Definitely strong (very intense flavor / high caffeine content);Taste and enjoyment – I simply like the taste of coffee, Routine / habit – I drink it out of habit, it’s part of my daily routine;Sleep problems (e.g., insomnia or difficulty falling asleep), Nervousness / jitters (anxiety, shaking hands after coffee);I have no opinion / hard to say;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Female;bharat;India;IN
Yes;Every day;2;Right after waking up (~5–9 AM);In a café (on site);French press / moka pot (plunger pot or moka pot);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Plant-based milk (e.g., soy, oat, almond);Definitely strong (very intense flavor / high caffeine content);Energy / stimulation – to wake up, get an energy boost;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;I can’t imagine a day without coffee – I need it to function properly.;;;18-24;Male;Germany;Germany;DE
No;;;;;;;;;;;;;I don’t like the taste;Water;25-34;Male;Germany;Germany;DE
No;;;;;;;;;;;;;I don’t need caffeine / I prefer other drinks;Tea;25-34;Male;Romania;Romania;RO
No;;;;;;;;;;;;;I don’t like the taste;Water;25-34;Female;can;Canada;CA
Yes;Every day;1;Right after waking up (~5–9 AM);At home;Instant coffee (soluble – with hot water);Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Definitely mild (light flavor or low caffeine content);Taste and enjoyment – I simply like the taste of coffee, Relaxation – it’s a moment of pause and rest;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;25-34;Female;finland;Finland;FI
Yes;Every day;3–4;Right after waking up (~5–9 AM);To go (on the way, e.g., in the car or on public transport);Traditional boiled coffee (“Turkish style” or grounds brewed directly);Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Rather strong;Taste and enjoyment – I simply like the taste of coffee;Withdrawal symptoms (e.g., headache or irritability if I skip coffee);Positive – drinking coffee mostly benefits health (e.g., health properties);Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Male;US;United States;US
No;;;;;;;;;;;;;I don’t like the taste;Energy drinks;45-54;Female;Denmark;Denmark;DK
Yes;Every day;3–4;Evening;To go (on the way, e.g., in the car or on public transport);Instant coffee (soluble – with hot water);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Nothing – I drink it black (without additives);Rather strong;Taste and enjoyment – I simply like the taste of coffee, Energy / stimulation – to wake up, get an energy boost;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;"Coffee is just a drink to me; I don’t give it much thought.";;;18-24;Female;Belgium;Belgium;BE
No;;;;;;;;;;;;;I don’t like the taste;Tea;18-24;Male;usa;United States;US
No;;;;;;;;;;;;;It makes me feel unwell (e.g., jittery, stomach discomfort);Water;18-24;Female;UStates;United States;US
No;;;;;;;;;;;;;I don’t need caffeine / I prefer other drinks;Nothing – I don’t need stimulating drinks;25-34;Male;us;United States;US
Yes;Several times a week;5 or more;Right after waking up (~5–9 AM);At home;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Espresso (small, very strong coffee ~30 ml);Plant-based milk (e.g., soy, oat, almond);Definitely strong (very intense flavor / high caffeine content);Energy / stimulation – to wake up, get an energy boost;Heart palpitations / rapid heartbeat;Mixed – coffee has both pros and cons for health;I like coffee, but I could do without it – it’s not a necessity.;;;18-24;Female;suisse;Switzerland;CH
Yes;Every day;1;Late morning (9–12);To go (on the way, e.g., in the car or on public transport);Traditional boiled coffee (“Turkish style” or grounds brewed directly);Espresso (small, very strong coffee ~30 ml);Sugar / sweetener;Definitely mild (light flavor or low caffeine content);Concentration – coffee helps me focus and work more effectively, Social aspect – I drink coffee during social or work gatherings;Heart palpitations / rapid heartbeat;Negative – drinking coffee mostly harms health (e.g., causes issues);I like coffee, but I could do without it – it’s not a necessity.;;;18-24;Male;United Kingdom;United Kingdom;GB
No;;;;;;;;;;;;;For health reasons (e.g., doctor advised against it);Tea;18-24;Female;Australia;Australia;AU
Yes;Rarely/Occasionally;2;Right after waking up (~5–9 AM);At home;I buy ready-made coffee (don’t brew it myself, e.g., from a café or vending machine);Caffè latte / Latte macchiato (coffee with a large amount of milk);Plant-based milk (e.g., soy, oat, almond);Rather mild;Energy / stimulation – to wake up, get an energy boost, Social aspect – I drink coffee during social or work gatherings;Sleep problems (e.g., insomnia or difficulty falling asleep), Withdrawal symptoms (e.g., headache or irritability if I skip coffee);Negative – drinking coffee mostly harms health (e.g., causes issues);I like coffee, but I could do without it – it’s not a necessity.;;;18-24;Male;America;United States;US
Yes;Rarely/Occasionally;3–4;Late morning (9–12);At home;Traditional boiled coffee (“Turkish style” or grounds brewed directly);Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Definitely strong (very intense flavor / high caffeine content);Taste and enjoyment – I simply like the taste of coffee, Energy / stimulation – to wake up, get an energy boost, Routine / habit – I drink it out of habit, it’s part of my daily routine;No, I don’t experience any negative effects;I have no opinion / hard to say;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;35-44;Male;united states;United States;US
Yes;Several times a week;1;Late morning (9–12);In a café (on site);Instant coffee (soluble – with hot water);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Nothing – I drink it black (without additives);Rather mild;Routine / habit – I drink it out of habit, it’s part of my daily routine, Concentration – coffee helps me focus and work more effectively;Sleep problems (e.g., insomnia or difficulty falling asleep), Withdrawal symptoms (e.g., headache or irritability if I skip coffee);Mixed – coffee has both pros and cons for health;"Coffee is just a drink to me; I don’t give it much thought.";;;18-24;Female;uk;United Kingdom;GB
No;;;;;;;;;;;;;It makes me feel unwell (e.g., jittery, stomach discomfort);Tea;18-24;Male;The States;United States;US
No;;;;;;;;;;;;;For health reasons (e.g., doctor advised against it);Tea;18-24;Male;italy;Italy;IT
Yes;Every day;1;Early afternoon (12–3 PM);At home;Traditional boiled coffee (“Turkish style” or grounds brewed directly);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Other;Rather strong;Taste and enjoyment – I simply like the taste of coffee;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;I like coffee, but I could do without it – it’s not a necessity.;;;18-24;Male;romana;Romania;RO
Yes;Every day;2;Right after waking up (~5–9 AM);To go (on the way, e.g., in the car or on public transport);Capsules / pods (capsule machine such as Nespresso, Senseo, etc.);Iced or dessert coffee (cold, e.g., frappé, iced cold brew, etc.);Sugar / sweetener;Definitely strong (very intense flavor / high caffeine content);Routine / habit – I drink it out of habit, it’s part of my daily routine;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;I like coffee, but I could do without it – it’s not a necessity.;;;45-54;Female;netherlands;Netherlands;NL
Yes;Once a week;2;Right after waking up (~5–9 AM);To go (on the way, e.g., in the car or on public transport);Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Rather strong;Concentration – coffee helps me focus and work more effectively;No, I don’t experience any negative effects;Positive – drinking coffee mostly benefits health (e.g., health properties);I’m a true coffee enthusiast – I’m passionate about its flavors and brewing methods.;;;18-24;Male;PL;Poland;PL
No;;;;;;;;;;;;;I don’t need caffeine / I prefer other drinks;Nothing – I don’t need stimulating drinks;25-34;Female;espana;Spain;ES
Yes;Several times a week;3–4;Right after waking up (~5–9 AM);At work / school / university;I buy ready-made coffee (don’t brew it myself, e.g., from a café or vending machine);Caffè latte / Latte macchiato (coffee with a large amount of milk);Other;Rather strong;Taste and enjoyment – I simply like the taste of coffee;Sleep problems (e.g., insomnia or difficulty falling asleep);Positive – drinking coffee mostly benefits health (e.g., health properties);I’m a true coffee enthusiast – I’m passionate about its flavors and brewing methods.;;;18-24;Male;fra;France;FR
Yes;Every day;1;Evening;At home;French press / moka pot (plunger pot or moka pot);Caffè latte / Latte macchiato (coffee with a large amount of milk);Plant-based milk (e.g., soy, oat, almond);Definitely strong (very intense flavor / high caffeine content);Taste and enjoyment – I simply like the taste of coffee, Routine / habit – I drink it out of habit, it’s part of my daily routine;Heart palpitations / rapid heartbeat;Negative – drinking coffee mostly harms health (e.g., causes issues);Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Male;Canada;Canada;CA
No;;;;;;;;;;;;;I don’t like the taste;Other;18-24;Female;Britain;United Kingdom;GB
No;;;;;;;;;;;;;It makes me feel unwell (e.g., jittery, stomach discomfort);Tea;18-24;Female;usa;United States;US
No;;;;;;;;;;;;;I don’t like the taste;Water;25-34;Female;osterreich;Austria;AT
No;;;;;;;;;;;;;I don’t need caffeine / I prefer other drinks;Yerba mate;25-34;Female;IRL;Ireland;IE
Yes;Several times a month;3–4;Late afternoon (3–6 PM);At home;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Cappuccino (coffee with milk and foam, classic cappuccino);Milk or cream (dairy);It depends – I don’t have a fixed preference (e.g., depends on the time of day);Routine / habit – I drink it out of habit, it’s part of my daily routine;Sleep problems (e.g., insomnia or difficulty falling asleep);Positive – drinking coffee mostly benefits health (e.g., health properties);I’m a true coffee enthusiast – I’m passionate about its flavors and brewing methods.;;;35-44;Female;pol;Poland;PL
Yes;Once a week;1;Late morning (9–12);At work / school / university;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Caffè latte / Latte macchiato (coffee with a large amount of milk);Sugar / sweetener;Definitely mild (light flavor or low caffeine content);Taste and enjoyment – I simply like the taste of coffee;Nervousness / jitters (anxiety, shaking hands after coffee), Withdrawal symptoms (e.g., headache or irritability if I skip coffee);Positive – drinking coffee mostly benefits health (e.g., health properties);I can’t imagine a day without coffee – I need it to function properly.;;;18-24;Prefer not to say;npl;Nepal;NP
No;;;;;;;;;;;;;For health reasons (e.g., doctor advised against it);Yerba mate;18-24;Male;Holland;Netherlands;NL
No;;;;;;;;;;;;;I don’t like the taste;Tea;18-24;Female;France;France;FR
No;;;;;;;;;;;;;I don’t need caffeine / I prefer other drinks;Tea;18-24;Female;Britain;United Kingdom;GB
No;;;;;;;;;;;;;It makes me feel unwell (e.g., jittery, stomach discomfort);Tea;18-24;Male;netherlands;Netherlands;NL
Yes;Several times a month;1;Late morning (9–12);No single dominant place;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Espresso (small, very strong coffee ~30 ml);Sugar / sweetener;Rather mild;Energy / stimulation – to wake up, get an energy boost;No, I don’t experience any negative effects;I have no opinion / hard to say;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;25-34;Male;United States;United States;US
Yes;Several times a week;1;Late morning (9–12);At work / school / university;Instant coffee (soluble – with hot water);Espresso (small, very strong coffee ~30 ml);Sugar / sweetener;Rather strong;Energy / stimulation – to wake up, get an energy boost;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;"Coffee is just a drink to me; I don’t give it much thought.";;;18-24;Male;USA;United States;US
No;;;;;;;;;;;;;It makes me feel unwell (e.g., jittery, stomach discomfort);Energy drinks;18-24;Male;us;United States;US
Yes;Several times a week;3–4;Right after waking up (~5–9 AM);At home;Traditional boiled coffee (“Turkish style” or grounds brewed directly);Instant coffee (soluble, in a cup);Nothing – I drink it black (without additives);Rather strong;Taste and enjoyment – I simply like the taste of coffee, Routine / habit – I drink it out of habit, it’s part of my daily routine;Nervousness / jitters (anxiety, shaking hands after coffee), Heart palpitations / rapid heartbeat;Negative – drinking coffee mostly harms health (e.g., causes issues);I can’t imagine a day without coffee – I need it to function properly.;;;18-24;Female;ustates;United States;US
No;;;;;;;;;;;;;I don’t like the taste;Tea;18-24;Male;spain;Spain;ES
No;;;;;;;;;;;;;I don’t like the taste;Nothing – I don’t need stimulating drinks;18-24;Female;Belgium;Belgium;BE
No;;;;;;;;;;;;;I don’t like the taste;Tea;55+;Female;italy;Italy;IT
Yes;Every day;2;Evening;At work / school / university;Capsules / pods (capsule machine such as Nespresso, Senseo, etc.);Cappuccino (coffee with milk and foam, classic cappuccino);Milk or cream (dairy);Rather mild;Taste and enjoyment – I simply like the taste of coffee, Energy / stimulation – to wake up, get an energy boost;Heart palpitations / rapid heartbeat;Positive – drinking coffee mostly benefits health (e.g., health properties);Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Male;can;Canada;CA
Yes;Several times a month;2;Within the first hour after waking up (~6–10 AM);At work / school / university;French press / moka pot (plunger pot or moka pot);Cappuccino (coffee with milk and foam, classic cappuccino);Spices (e.g., cinnamon, cardamom);Rather strong;Routine / habit – I drink it out of habit, it’s part of my daily routine;Sleep problems (e.g., insomnia or difficulty falling asleep);Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Male;fr;France;FR
Yes;Once a week;1;Within the first hour after waking up (~6–10 AM);In a café (on site);Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Cappuccino (coffee with milk and foam, classic cappuccino);Milk or cream (dairy);Definitely strong (very intense flavor / high caffeine content);Routine / habit – I drink it out of habit, it’s part of my daily routine, Energy / stimulation – to wake up, get an energy boost;No, I don’t experience any negative effects;Positive – drinking coffee mostly benefits health (e.g., health properties);I can’t imagine a day without coffee – I need it to function properly.;;;18-24;Male;brasil;Brazil;BR
Yes;Every day;3–4;Within the first hour after waking up (~6–10 AM);At home;Instant coffee (soluble – with hot water);Other white coffee (with milk, but less milk than a latte, e.g., flat white, “coffee with milk”);Milk or cream (dairy);Rather strong;Taste and enjoyment – I simply like the taste of coffee, Concentration – coffee helps me focus and work more effectively;No, I don’t experience any negative effects;I have no opinion / hard to say;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Female;Unknown;Unknown;Unknown
Yes;Every day;1;Right after waking up (~5–9 AM);In a café (on site);Capsules / pods (capsule machine such as Nespresso, Senseo, etc.);Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Definitely mild (light flavor or low caffeine content);Taste and enjoyment – I simply like the taste of coffee, Routine / habit – I drink it out of habit, it’s part of my daily routine;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Female;switzerland;Switzerland;CH
Yes;Every day;3–4;Right after waking up (~5–9 AM);At work / school / university;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Cappuccino (coffee with milk and foam, classic cappuccino);Milk or cream (dairy);Rather strong;Energy / stimulation – to wake up, get an energy boost;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;I’m a true coffee enthusiast – I’m passionate about its flavors and brewing methods.;;;18-24;Male;NL;Netherlands;NL
Yes;Once a week;2;Late morning (9–12);No single dominant place;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Cappuccino (coffee with milk and foam, classic cappuccino);Plant-based milk (e.g., soy, oat, almond);Definitely strong (very intense flavor / high caffeine content);Energy / stimulation – to wake up, get an energy boost;No, I don’t experience any negative effects;Negative – drinking coffee mostly harms health (e.g., causes issues);I like coffee, but I could do without it – it’s not a necessity.;;;18-24;Male;mys;Malaysia;MY
Yes;Rarely/Occasionally;1;Right after waking up (~5–9 AM);At home;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Other (your favorite coffee type not listed above);Spices (e.g., cinnamon, cardamom);Rather mild;Taste and enjoyment – I simply like the taste of coffee, Routine / habit – I drink it out of habit, it’s part of my daily routine;No, I don’t experience any negative effects;Positive – drinking coffee mostly benefits health (e.g., health properties);Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Male;belgium;Belgium;BE
Yes;Every day;2;Late morning (9–12);At work / school / university;Capsules / pods (capsule machine such as Nespresso, Senseo, etc.);Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Definitely strong (very intense flavor / high caffeine content);Routine / habit – I drink it out of habit, it’s part of my daily routine;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Male;polska;Poland;PL
Yes;Several times a week;1;Right after waking up (~5–9 AM);To go (on the way, e.g., in the car or on public transport);Instant coffee (soluble – with hot water);Instant coffee (soluble, in a cup);Nothing – I drink it black (without additives);Definitely strong (very intense flavor / high caffeine content);Taste and enjoyment – I simply like the taste of coffee, Energy / stimulation – to wake up, get an energy boost;Stomach issues (acid reflux, heartburn, stomach pain);Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;25-34;Female;great britain;United Kingdom;GB
Yes;Every day;2;Within the first hour after waking up (~6–10 AM);At home;French press / moka pot (plunger pot or moka pot);Espresso (small, very strong coffee ~30 ml);Nothing – I drink it black (without additives);Definitely strong (very intense flavor / high caffeine content);Routine / habit – I drink it out of habit, it’s part of my daily routine, Energy / stimulation – to wake up, get an energy boost;Sleep problems (e.g., insomnia or difficulty falling asleep), Heart palpitations / rapid heartbeat;Mixed – coffee has both pros and cons for health;I can’t imagine a day without coffee – I need it to function properly.;;;25-34;Male;US;United States;US
No;;;;;;;;;;;;;I don’t like the taste;Tea;18-24;Female;United Kingdom;United Kingdom;GB
Yes;Several times a month;2;Right after waking up (~5–9 AM);To go (on the way, e.g., in the car or on public transport);Capsules / pods (capsule machine such as Nespresso, Senseo, etc.);Caffè latte / Latte macchiato (coffee with a large amount of milk);Flavored syrup (vanilla, caramel, etc.);Rather strong;Routine / habit – I drink it out of habit, it’s part of my daily routine;No, I don’t experience any negative effects;Positive – drinking coffee mostly benefits health (e.g., health properties);"Coffee is just a drink to me; I don’t give it much thought.";;;18-24;Male;USA;United States;US
Yes;Once a week;1;Within the first hour after waking up (~6–10 AM);At work / school / university;Capsules / pods (capsule machine such as Nespresso, Senseo, etc.);Caffè latte / Latte macchiato (coffee with a large amount of milk);Plant-based milk (e.g., soy, oat, almond);Rather mild;Taste and enjoyment – I simply like the taste of coffee;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Female;de;Germany;DE
Yes;Once a week;3–4;Late morning (9–12);At home;Instant coffee (soluble – with hot water);Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Rather strong;Taste and enjoyment – I simply like the taste of coffee, Relaxation – it’s a moment of pause and rest;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;I like coffee, but I could do without it – it’s not a necessity.;;;25-34;Female;hung;Hungary;HU
No;;;;;;;;;;;;;I don’t like the taste;Yerba mate;18-24;Female;danmark;Denmark;DK
Yes;Every day;1;Right after waking up (~5–9 AM);At home;Cold brew (brewed cold);Other white coffee (with milk, but less milk than a latte, e.g., flat white, “coffee with milk”);Sugar / sweetener;Definitely strong (very intense flavor / high caffeine content);Taste and enjoyment – I simply like the taste of coffee;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;25-34;Prefer not to say;pol;Poland;PL
Yes;Every day;2;Late morning (9–12);In a café (on site);Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Espresso (small, very strong coffee ~30 ml);Flavored syrup (vanilla, caramel, etc.);Definitely mild (light flavor or low caffeine content);Concentration – coffee helps me focus and work more effectively;Nervousness / jitters (anxiety, shaking hands after coffee), Stomach issues (acid reflux, heartburn, stomach pain);Negative – drinking coffee mostly harms health (e.g., causes issues);Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Male;italy;Italy;IT
Yes;Every day;3–4;Within the first hour after waking up (~6–10 AM);At home;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Cappuccino (coffee with milk and foam, classic cappuccino);Sugar / sweetener;Definitely mild (light flavor or low caffeine content);Taste and enjoyment – I simply like the taste of coffee;No, I don’t experience any negative effects;Negative – drinking coffee mostly harms health (e.g., causes issues);I can’t imagine a day without coffee – I need it to function properly.;;;18-24;Male;amer.;United States;US
Yes;Every day;2;Late morning (9–12);At work / school / university;Traditional boiled coffee (“Turkish style” or grounds brewed directly);Other white coffee (with milk, but less milk than a latte, e.g., flat white, “coffee with milk”);Spices (e.g., cinnamon, cardamom);Definitely mild (light flavor or low caffeine content);Routine / habit – I drink it out of habit, it’s part of my daily routine;Stomach issues (acid reflux, heartburn, stomach pain), Withdrawal symptoms (e.g., headache or irritability if I skip coffee);Mixed – coffee has both pros and cons for health;"Coffee is just a drink to me; I don’t give it much thought.";;;18-24;Female;IRL;Ireland;IE
Yes;Once a week;1;No fixed time / it varies;At home;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Instant coffee (soluble, in a cup);Milk or cream (dairy);Definitely strong (very intense flavor / high caffeine content);Taste and enjoyment – I simply like the taste of coffee, Social aspect – I drink coffee during social or work gatherings;Stomach issues (acid reflux, heartburn, stomach pain), Withdrawal symptoms (e.g., headache or irritability if I skip coffee);Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;45-54;Female;sweden;Sweden;SE
Yes;Once a week;3–4;Late morning (9–12);At work / school / university;Instant coffee (soluble – with hot water);Espresso (small, very strong coffee ~30 ml);Sugar / sweetener;Rather strong;Concentration – coffee helps me focus and work more effectively, Energy / stimulation – to wake up, get an energy boost;Nervousness / jitters (anxiety, shaking hands after coffee);Mixed – coffee has both pros and cons for health;I like coffee, but I could do without it – it’s not a necessity.;;;45-54;Prefer not to say;czechia;Czechia;CZ
Yes;Rarely/Occasionally;2;Right after waking up (~5–9 AM);At home;I buy ready-made coffee (don’t brew it myself, e.g., from a café or vending machine);Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);It depends – I don’t have a fixed preference (e.g., depends on the time of day);Energy / stimulation – to wake up, get an energy boost;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;I can’t imagine a day without coffee – I need it to function properly.;;;25-34;Male;Unknown;Unknown;Unknown
No;;;;;;;;;;;;;It makes me feel unwell (e.g., jittery, stomach discomfort);Water;18-24;Female;ng;Nigeria;NG
